employee_id,employee_first_name,employee_middle_name,employee_last_name,employee_gender,employee_location,date_of_birth,hire_date,termination_date,employee_status
E0000001,Paul,Amy,Tapia,Male,North Ruth,14/02/1995,4/04/2022,,Inactive
E0000002,Brandon,,Lewis,Female,Calhounfurt,23/09/1988,25/12/2021,,Active
E0000003,Lauren,,Martinez,Female,Zacharyside,7/01/1990,10/12/2022,,Active
E0000004,Kevin,,Davis,Male,New Michelleport,22/04/1982,9/08/2023,,Active
E0000005,Debra,Adam,Nunez,Male,South Jessicachester,30/07/1974,21/04/2023,,Active
E0000006,Andrew,,Lewis,Female,East Steven,13/01/1994,11/01/2021,,Active
E0000007,Daniel,,Buchanan,Female,East Wendyborough,19/04/2000,14/01/2021,,Inactive
E0000008,Bruce,John,Serrano,Male,Gravesside,22/10/1995,16/07/2024,,Active
E0000009,Mary,Darlene,Weiss,Female,Nelsonberg,9/03/1966,18/09/2024,,Active
E0000010,Tyler,,Wade,Female,Cranetown,4/03/2001,12/01/2025,,Active
E0000011,Jasmine,,Brown,Male,West Monica,30/09/1964,9/03/2023,,Inactive
E0000012,Melinda,,Brown,Male,Levyside,7/05/1991,20/04/2024,,Active
E0000013,Erika,,Phillips,Female,Port Timothyfort,11/04/1965,7/07/2021,,Active
E0000014,Janet,Bailey,Long,Male,Port Jacob,6/12/2002,4/06/2023,,Active
E0000015,Ross,,Galvan,Male,Rodriguezfurt,16/02/1987,26/06/2021,,Active
E0000016,John,,Gonzalez,Female,East Courtney,31/08/1971,20/01/2025,,Active
E0000017,Emily,,Sanchez,Female,Port Jermainemouth,1/01/1974,30/11/2022,,Inactive
E0000018,Michael,,Pearson,Male,West Tiffany,29/09/1992,27/05/2021,,Active
E0000019,Deanna,,Martin,Female,Edwinville,21/02/1998,5/08/2021,,Active
E0000020,Tracy,,Snyder,Male,Huynhfurt,12/01/1970,23/12/2024,,Active
E0000021,Derek,Mary,Smith,Female,Port Matthew,22/10/1990,3/03/2025,,Active
E0000022,Deborah,Shawn,Parsons,Female,Johnside,4/03/2007,5/10/2024,11/01/2025,Inactive
E0000023,Ryan,,Mendoza,Female,North Ernest,26/06/1965,25/04/2022,,Active
E0000024,Briana,,Hall,Male,Annabury,29/03/1983,18/08/2022,,Active
E0000025,Teresa,Samuel,Martinez,Female,East Rebecca,3/09/1997,5/03/2023,,Inactive
E0000026,Karen,Erin,Roberts,Male,North Jane,19/04/1980,28/07/2021,,Inactive
E0000027,Kathy,,Patterson,Female,Tylerville,10/11/1994,18/03/2023,,Active
E0000028,Jessica,Kim,Williams,Female,Lake John,10/05/1988,14/05/2022,,Active
E0000029,Jennifer,,Munoz,Female,North Catherine,7/01/2002,4/03/2025,,Active
E0000030,Michael,,Contreras,Female,North Emily,31/01/1966,29/07/2021,,Active
E0000031,Edward,,Benson,Female,East Karenshire,17/02/2004,3/06/2022,,Active
E0000032,Joanna,,Phelps,Male,West Charlesport,24/10/1973,13/03/2024,,Active
E0000033,Kaitlyn,,Paul,Male,New Caitlinburgh,13/06/1997,18/01/2022,,Inactive
E0000034,Jennifer,,Long,Female,West Patrick,3/04/2000,3/06/2023,,Active
E0000035,Brian,William,Cameron,Male,West Andrew,6/05/1975,13/12/2024,,Active
E0000036,Jody,,Bailey,Female,Paceville,2/02/1975,12/01/2025,,Active
E0000037,Melissa,,Jacobs,Male,Port Michelleville,13/02/1995,30/10/2022,,Active
E0000038,Mark,,Holloway,Male,Sandershaven,15/04/1994,24/08/2023,,Active
E0000039,Sean,,Shields,Male,Rossland,22/09/1988,22/12/2022,,Active
E0000040,Kristopher,,Taylor,Male,New Andrea,3/11/1994,14/10/2024,,Active
E0000041,Monique,,Martinez,Male,New Melissabury,10/11/1979,26/10/2022,,Active
E0000042,Brandon,,Olsen,Female,East Jennaborough,25/07/1995,18/09/2022,,Active
E0000043,Christopher,Lori,Lee,Male,South Mariamouth,18/11/1990,17/06/2023,10/03/2024,Inactive
E0000044,Derrick,,Fox,Female,North Richardfurt,12/09/1972,12/02/2023,,Active
E0000045,Mallory,Charles,Wallace,Male,Michellestad,16/04/1965,16/12/2023,11/03/2024,Inactive
E0000046,Kenneth,,White,Male,Amandastad,10/09/1986,14/03/2022,,Active
E0000047,Travis,,Carter,Female,Youngville,8/07/1986,4/01/2021,2/01/2022,Inactive
E0000048,David,,Castro,Male,West Jenniferhaven,24/11/2004,18/02/2023,,Inactive
E0000049,Aaron,,Morales,Female,North Kelly,25/02/1986,20/10/2021,,Active
E0000050,Cynthia,Christina,Benjamin,Female,Antoniofort,17/11/1977,13/06/2024,,Active
E0000051,Sandra,,Chapman,Female,West Megan,30/05/1980,1/08/2024,,Active
E0000052,Stephanie,Juan,Mccormick,Male,Vincentbury,13/04/1982,28/04/2021,,Active
E0000053,Joseph,,Schwartz,Female,South Natalie,4/07/2004,14/03/2024,,Active
E0000054,Daniel,Sara,Wiggins,Male,Susanburgh,30/03/1973,11/01/2025,,Active
E0000055,Stephanie,Tyler,Gomez,Female,Reginaton,18/07/1996,16/03/2023,,Active
E0000056,Pamela,Jacob,Sanchez,Male,East Theresaburgh,3/03/1994,23/08/2021,,Active
E0000057,Vanessa,,Bowman,Female,Garciashire,25/03/2002,16/11/2021,,Inactive
E0000058,Karen,,Walker,Female,West Brandonland,2/12/2002,17/06/2021,,Inactive
E0000059,Cassandra,,Johnson,Male,Williamberg,11/02/2003,17/08/2021,,Active
E0000060,Krystal,,Davis,Male,South Bryan,4/09/2005,18/02/2022,,Inactive
E0000061,Jason,,Lewis,Male,Isaacfort,28/12/1998,8/04/2024,,Active
E0000062,Frederick,,Mendoza,Female,South James,9/03/1973,3/08/2024,22/11/2024,Inactive
E0000063,Deanna,,Carey,Male,Foxfurt,2/10/1995,17/04/2023,,Inactive
E0000064,Vanessa,Mike,Lawrence,Male,West William,16/02/1989,20/12/2023,,Active
E0000065,Nicholas,,Schultz,Female,West Elizabethstad,17/12/2003,27/12/2023,,Inactive
E0000066,Monique,,Ward,Male,Zavalaton,18/11/1977,27/01/2022,,Inactive
E0000067,Michele,Kimberly,Oneal,Male,Jonestown,27/09/1992,11/07/2023,,Active
E0000068,Kimberly,,Nelson,Male,East Davidfurt,24/03/1993,27/12/2021,,Active
E0000069,Mary,,Johnston,Female,Shannonport,5/05/1981,19/12/2021,,Inactive
E0000070,Eddie,,Chambers,Male,South Jefferyfort,7/08/1982,19/10/2024,,Active
E0000071,Rebecca,,Bowers,Female,Michaelfort,17/07/1968,10/07/2022,,Inactive
E0000072,Evelyn,,Conley,Male,North Jody,8/09/1970,25/01/2022,,Active
E0000073,Thomas,,Lopez,Male,Lake Danaburgh,26/12/1965,22/12/2021,,Active
E0000074,Miguel,,Marquez,Female,Knoxside,4/03/1972,25/05/2023,,Active
E0000075,Jose,,Elliott,Male,West Ericland,25/04/2002,9/03/2021,,Active
E0000076,Amanda,,Mccall,Male,South Jessicastad,8/01/1995,4/07/2023,,Active
E0000077,Michelle,,Johnson,Male,New Erin,14/07/1998,11/08/2023,,Active
E0000078,Eric,,Hunter,Female,South Keithmouth,17/02/1968,24/08/2021,,Active
E0000079,Patrick,,Zhang,Female,Cruzchester,16/10/1967,28/09/2021,,Active
E0000080,Andrea,,Collins,Female,Lake Alyssa,6/05/1992,10/12/2023,,Active
E0000081,Joanne,,Walker,Male,South Kayla,7/10/1979,6/11/2024,,Active
E0000082,Sharon,Annette,Bruce,Female,East Jonathan,6/03/1985,27/08/2021,,Active
E0000083,Thomas,,Meyers,Female,Port Holly,1/10/1991,18/09/2024,,Active
E0000084,Molly,Nancy,Foster,Female,West Autumn,18/01/1997,8/02/2025,,Active
E0000085,Katherine,Kristine,Baker,Male,Jonesside,12/10/1985,19/03/2021,,Active
E0000086,Paul,,Harris,Male,Taylorfort,5/03/1991,28/10/2022,,Inactive
E0000087,Richard,,Dixon,Female,Jamesbury,23/11/1974,27/03/2022,,Active
E0000088,Jennifer,,Hernandez,Male,Melissaburgh,27/07/1979,12/11/2024,,Active
E0000089,Katie,John,Davis,Female,Smithside,24/11/1975,1/10/2023,,Inactive
E0000090,Melissa,,Watkins,Male,East Andrea,7/08/2003,10/09/2021,,Active
E0000091,Joseph,,Johnson,Male,Hammondshire,26/09/1977,3/01/2022,,Inactive
E0000092,Joseph,Denise,Coleman,Male,New Teresa,29/10/1996,28/11/2021,,Active
E0000093,Todd,,Hardy,Male,Jesusfurt,17/06/1971,8/11/2024,,Active
E0000094,Candice,Alison,Miller,Male,Dariusberg,16/08/1977,2/03/2025,,Active
E0000095,Jonathan,,Anderson,Female,West Coreybury,24/11/1976,6/01/2021,,Inactive
E0000096,Lynn,Jeremy,Robinson,Male,Jonesport,19/04/2005,3/12/2023,,Active
E0000097,Jacqueline,Kristy,Brown,Male,Elizabethton,26/03/2005,11/03/2022,,Active
E0000098,Amy,,Stevens,Female,New Jose,26/10/2001,23/09/2023,,Active
E0000099,Thomas,Megan,Howe,Female,Port Heatherberg,7/08/1999,20/09/2021,,Active
E0000100,Sara,Joanne,Cortez,Male,Santosmouth,17/11/1992,16/05/2024,,Active
